country_name,country_code,dem_vdem,rle_vdem,prop_vdem,fh_cl,fh_pr,rle_wb,dem_polity,area,pop,pop_rural,gini,nat_resources,gdp_pc.1995,region,educ,conflict,elec_access,life_exp,gdp_pc
Mexico,MEX,0.649,0.504,0.73,3,3,-0.447,8,1965660.69,121858258,25242937,NA,2.178293329,7390.714716,2,8.48,0,99.5,74.917,9751.569083
Suriname,SUR,0.801,0.725,0.804,3,2,-0.195,5,145952.274,559143,189793,NA,5.586345553,6012.840555,2,NA,0,95.90665436,71.358,8628.855726
Sweden,SWE,0.898,0.99,0.91,1,1,2.038,10,444337.592,9799186,1317697,29.2,0.296501285,34648.11892,5,11.85,0,100,82.30731707,51955.86107
Switzerland,CHE,0.888,0.994,0.895,1,1,1.945,10,41475.571,8282396,2176779,32.3,0.010788837,67394.97161,5,12.71,0,100,83.60243902,85570.39606
Ghana,GHA,0.736,0.578,0.813,2,1,0.142,8,240585.52,27849205,12786683,NA,10.89419915,954.4414309,4,5.61,0,79.3,63.124,1723.943452
South Africa,ZAF,0.713,0.703,0.806,2,2,0.088,9,1224585.797,55386367,19480494,NA,2.738260301,4662.396855,4,7.88,0,84.2,63.153,5673.393455
Japan,JPN,0.816,0.958,0.877,1,1,1.519,10,371862.3,127141000,10958283,NA,0.028211418,30171.16379,6,13.15,0,100,83.98487805,35264.81336
Burma/Myanmar,MMR,0.374,0.423,0.355,5,6,-1.237,2,670372.095,52680726,36951313,38.1,6.481487634,226.0822217,6,5.7,0,55.6,66.205,1201.966471
Russia,RUS,0.267,0.159,0.876,6,6,-0.764,4,16827198,144096870,37393138,37.7,10.04341165,4862.642272,1,9.61,0,100,71.65121951,11356.40004
Albania,ALB,0.547,0.557,0.748,3,3,-0.328,9,28680.714,2880703,1226200,32.9,1.621620436,1488.020491,1,NA,0,99.89,78.194,4090.363323
Egypt,EGY,0.198,0.274,0.276,5,6,-0.601,-4,1002473.978,92442547,52891004,31.8,4.178824435,2185.302175,3,7.72,0,100,71.482,3638.894927
Yemen,YEM,0.179,0.058,0.355,6,7,-1.271,0,456146.699,26497889,17282713,NA,2.105148678,2163.525442,3,NA,1,68.9187088,66.087,1415.839376
Colombia,COL,0.711,0.7,0.71,4,3,-0.268,7,1142725.713,47520667,9616282,51,3.678660325,4118.628027,2,7.604,0,98.4,76.732,6219.149691
Poland,POL,0.866,0.948,0.909,1,1,0.802,10,311161.237,37986412,15088963,31.8,0.717581436,5638.14491,1,9.696,0,100,77.85121951,12979.25595
Brazil,BRA,0.867,0.77,0.886,2,2,-0.147,8,8523619.571,204471769,29096331,51.9,2.386846557,6584.739221,2,8.14,0,99.7,75.23,8455.323481
United States of America,USA,0.89,0.98,0.872,1,1,1.596,10,9468306.22,320742673,58788250,41.2,0.234698331,41794.19221,5,13.61,0,100,78.53902439,57418.93385
Portugal,PRT,0.868,0.954,0.907,1,1,1.147,10,92026.586,10358076,3779248,35.5,0.135141094,15782.63468,5,7.82,0,100,81.12439024,19692.98868
El Salvador,SLV,0.668,0.541,0.71,3,2,-0.585,8,20692.839,6325124,1916512,40.6,0.850742983,2839.205247,2,5.93,0,96,72.644,3781.217023
Bangladesh,BGD,0.331,0.216,0.831,4,4,-0.751,1,138505.328,156256276,102647880,NA,0.934311292,572.4384537,6,4.69,0,75.92,71.785,1322.694812
Bolivia,BOL,0.633,0.474,0.615,3,3,-1.141,7,1092697.436,10869730,3435596,46.7,3.767257349,1920.317932,2,8.268,0,91.8,70.626,3118.913683
Haiti,HTI,0.425,0.139,0.803,5,5,-1.181,0,27315.459,10695542,5088189,NA,0.572188967,1270.12958,2,4.23,0,40.4,62.896,1394.219997
Honduras,HND,0.464,0.268,0.825,4,4,-0.926,7,112871.255,9112916,4085771,49.2,1.568462312,1741.666305,2,5.79,0,91.6,74.701,2351.093586
Mali,MLI,0.56,0.416,0.838,4,5,-0.735,5,1259194.501,17438778,10464833,NA,7.388938214,511.8975812,4,1.51,0,38.86705399,57.987,772.1318362
Pakistan,PAK,0.482,0.381,0.645,5,4,-0.767,7,879492.897,199426964,127581399,32.6,1.246643048,1008.224761,6,5.97,1,71.58531952,66.77,1402.087871
Peru,PER,0.767,0.73,0.69,3,2,-0.485,9,1299028.078,30470734,6899489,43.4,3.86737756,3165.489972,2,8.87,0,94.2,76.044,6380.025857
Senegal,SEN,0.645,0.83,0.754,2,2,-0.142,7,197172.573,14578459,7892481,NA,3.491946114,978.3107544,4,2.99,0,64.5,67.078,1260.848057
South Sudan,SSD,0.182,0.072,0.093,6,7,-1.855,0,631411.105,10715658,8695541,NA,11.1791739,NA,4,NA,1,5.128197193,57.12,NA
Sudan,SDN,0.245,0.093,0.148,7,7,-1.211,-4,1870245.09,38902950,25717183,NA,3.46480381,961.208872,4,NA,1,48.83090973,64.663,2042.112807
Vietnam,VNM,0.213,0.379,0.602,5,7,-0.339,-7,326086.275,92677076,61343887,NA,4.206112896,729.5402794,6,6.532,0,99.2,75.172,2191.819699
Afghanistan,AFG,0.396,0.245,0.506,6,6,-1.504,-1,643557.141,34413603,25877997,NA,0.495307093,NA,6,3.813,1,97.7,63.763,575.3344424
Argentina,ARG,0.756,0.584,0.886,2,2,-0.771,9,2787442.098,43131966,3664923,NA,1.081226358,10003.09169,2,8.77,0,99.95601654,76.221,13360.21183
Ethiopia,ETH,0.238,0.334,0.37,6,7,-0.509,-3,1134773.297,100835458,81245141,35,12.19036608,243.598443,4,NA,1,42.9,65.482,682.2393577
India,IND,0.615,0.733,0.775,3,2,-0.047,9,3166803.189,1310152403,880723742,NA,1.764172696,618.3677694,6,4.84,0,89.53488159,68.897,1719.318076
Kenya,KEN,0.472,0.533,0.405,4,4,-0.488,9,585730.013,47878336,35593715,40.8,2.960045209,1185.8785,4,6.46,1,53.1,65.393,1381.623203
North Korea,PRK,0.1,0.032,0.009,7,7,-1.645,-10,122351.727,25183833,9751935,NA,NA,NA,6,7.108,0,42.57210541,71.711,NA
South Korea,KOR,0.712,0.816,0.768,2,2,0.932,8,97429.716,51014947,9369405,NA,0.018425354,13408.68142,6,13,0,100,82.27560976,29461.78401
Kosovo,XKX,0.656,0.431,0.418,4,3,-0.465,8,10737.528,1801800,NA,26.5,0.33164878,NA,1,NA,0,99.8,71.74390244,3772.121641
Lebanon,LBN,0.526,0.341,0.626,4,5,-0.826,6,10240.234,6532678,776997,NA,0.002287824,6235.304592,3,8.725,0,100,78.8,7551.546861
Nigeria,NGA,0.594,0.407,0.69,5,4,-0.962,7,914291.337,181137448,94484919,NA,5.064158511,1414.101377,4,4.48,1,59.3,53.541,2575.455449
Philippines,PHL,0.586,0.586,0.817,3,3,-0.343,8,294201.601,102113212,54851130,44.6,0.769548074,1712.309462,6,8.24,0,92.04637146,70.802,3167.502416
Tanzania,TZA,0.524,0.661,0.532,4,3,-0.372,3,947555.66,51482633,35205372,NA,5.336143654,521.055281,4,3.645,0,32.8,63.844,904.4084623
Taiwan,TWN,0.84,0.877,0.9,2,1,1.162,10,36184.054,NA,NA,NA,NA,NA,6,NA,0,NA,NA,NA
Thailand,THA,0.15,0.269,0.745,5,6,-0.148,-3,515247.087,68714511,35941816,36,2.088415417,3592.500797,6,7.91,0,99.85212708,76.403,6018.177484
Uganda,UGA,0.341,0.448,0.557,5,6,-0.39,-1,243702.806,38225453,29792913,NA,10.84130909,446.6841546,4,4.54,0,26.7,61.986,852.2220379
Venezuela,VEN,0.334,0.032,0.648,5,5,-2.032,4,916782.217,30081829,3563493,NA,NA,NA,2,6.63,0,99.4,72.405,NA
Benin,BEN,0.698,0.618,0.875,2,2,-0.536,7,116922.187,10575952,5743276,47.8,4.304299508,823.5492837,4,2.89,0,37.08368683,60.885,1082.451292
Bhutan,BTN,0.625,0.931,0.702,4,3,0.522,5,39991.356,727876,446354,NA,4.028295413,931.8786036,6,NA,0,99.50035858,70.781,2940.69997
Burkina Faso,BFA,0.374,0.722,0.764,3,4,-0.523,6,274009.474,18110624,13124763,NA,11.63285023,365.2805352,4,1.428,0,16.6396122,60.354,672.3630399
Cambodia,KHM,0.322,0.096,0.451,5,6,-0.978,2,182847.296,15521436,12077539,NA,1.817686573,388.2880271,6,5.894,0,76.62667847,68.977,1224.286218
Indonesia,IDN,0.677,0.645,0.776,4,2,-0.422,9,1890541.851,258383256,120631391,39.7,3.116901829,1934.123433,6,NA,0,97.62,71.035,3456.928114
Mozambique,MOZ,0.454,0.482,0.591,4,4,-0.849,5,790679.445,27042002,17739553,NA,12.98765582,219.1927749,4,2.68,0,26.2693119,58.309,595.0776111
Nepal,NPL,0.579,0.58,0.715,4,3,-0.677,6,147710.195,27015031,22001853,NA,1.063146872,493.6546022,6,4.366,0,90.7,69.848,897.403788
Nicaragua,NIC,0.358,0.151,0.58,3,4,-0.736,9,128883.088,6223240,2620293,NA,1.826249403,1232.317224,2,7.05,0,84.74318695,73.86,2115.921787
Niger,NER,0.624,0.653,0.624,4,3,-0.571,6,1188522.525,20001663,16751993,NA,9.804303593,432.5066832,4,1.31,1,17.22759056,61.137,492.5036346
Zambia,ZMB,0.456,0.708,0.449,4,3,-0.23,7,756428.205,15879361,9224802,57.1,11.16358183,741.7902647,4,6.354,0,35.17316437,62.464,1347.748086
Zimbabwe,ZWE,0.297,0.261,0.278,5,5,-1.318,4,391930.531,13814629,9340770,NA,4.561980836,1576.086929,4,7.918,0,39.67622757,60.294,1433.608776
Guinea,GIN,0.468,0.189,0.36,5,5,-1.161,4,246594.677,11432088,7414743,NA,14.1138586,587.6179195,4,3.347,0,33.5,60.17,830.2461639
Ivory Coast,CIV,0.513,0.671,0.512,4,4,-0.63,4,323412.229,23226143,11742211,41.5,3.29367335,1723.157369,4,3.78,0,64.3,56.567,2061.215247
Mauritania,MRT,0.457,0.158,0.423,5,6,-0.866,-2,1043783.427,4046301,1979088,NA,5.204353415,1417.656162,4,4.486,0,41.33416367,64.208,1499.836222
Canada,CAN,0.839,0.987,0.881,1,1,1.842,10,9923995.405,35702908,6691082,33.7,0.334893277,NA,5,13.08,0,100,81.9,43536.9134
Australia,AUS,0.886,0.984,0.863,1,1,1.825,10,7718924.697,23815995,3405449,NA,3.27865687,39223.16077,5,13.14,0,100,82.44878049,57424.25134
Botswana,BWA,0.686,0.873,0.751,2,3,0.596,8,581127.216,2120716,696549,53.3,0.740622265,3968.320716,4,9.889,0,64.29515076,68.178,6963.770637
Burundi,BDI,0.216,0.106,0.305,6,7,-1.168,-1,27367.75,10160030,8932905,NA,15.53249535,350.9509938,4,2.331,0,9.251799583,60.528,294.2188419
Cape Verde,CPV,0.844,0.889,0.818,1,1,0.591,10,4054.303,524743,187332,42.4,0.799397011,1236.561914,4,NA,0,89.22769928,72.347,3147.837443
Central African Republic,CAF,0.288,0.167,0.411,7,7,-1.685,0,622696.581,4493170,2683457,NA,12.66145709,486.3657141,4,3.058,0,13.49867058,51.593,391.4735359
Chile,CHL,0.89,0.96,0.871,1,1,1.344,10,745808.494,17969353,2271327,44.4,4.02835584,7380.061284,2,10.36,0,100,79.779,13624.67855
Costa Rica,CRI,0.893,0.95,0.902,1,1,0.505,10,51402.625,4847804,1121685,48.4,1.147252451,6920.579041,2,7.5,0,99.5,79.738,12004.67131
Timor-Leste,TLS,0.667,0.637,0.633,3,3,-1.122,8,15138.824,1196302,843507,NA,81.94996236,NA,6,NA,0,76.5,68.735,1351.65748
Ecuador,ECU,0.563,0.398,0.849,3,3,-1.029,5,257026.691,16212020,5933924,46,4.785458165,4414.928258,2,8.579,0,98.7,76.365,5947.00199
France,FRA,0.876,0.957,0.907,1,1,1.413,9,547871.255,66593366,13539246,32.7,0.041049665,29734.04522,5,12.46,0,100,82.57317073,36941.93624
Germany,DEU,0.878,0.991,0.905,1,1,1.795,10,356448.186,81686611,18624547,31.7,0.075511768,31615.44279,5,12.98,0,100,80.9902439,41665.27277
Guatemala,GTM,0.614,0.409,0.716,4,4,-0.947,8,109653.931,16252429,7788224,NA,1.788112322,2965.891791,2,5.5,0,91.79523468,73.541,4034.158482
Iran,IRN,0.216,0.192,0.667,6,6,-0.923,-7,1626149.96,78492215,20911894,39.5,15.81645541,3599.604811,3,6.25,0,99.95,76.047,5486.407964
Iraq,IRQ,0.42,0.249,0.637,6,5,-1.418,6,437462.661,35572261,10699783,NA,34.2467187,2026.936665,3,6.78,1,99.65268707,70.122,5183.408969
Ireland,IRL,0.889,0.975,0.886,1,1,1.775,10,69507.089,4701957,1761447,31.8,0.017802752,27987.56149,5,10.69,0,100,81.65365854,62543.46906
Italy,ITA,0.881,0.912,0.9,1,1,0.275,10,300242.621,60730582,18483353,35.4,0.081836473,29253.32217,5,10.95,0,100,83.24390244,30673.30784
Jordan,JOR,0.262,0.618,0.802,5,6,0.439,-3,89491.068,9266575,902935,NA,1.400035893,3420.425244,3,9.177,0,99.99480438,74.184,4119.252115
Latvia,LVA,0.86,0.956,0.87,2,2,0.795,8,64469.191,1977527,633204,34.2,0.971074416,4968.687059,1,11.015,0,100,74.5804878,14230.9281
Lesotho,LSO,0.61,0.608,0.625,3,3,-0.174,8,30621.429,2059021,1504972,NA,6.184519147,659.6680304,4,6.589,0,35.18151093,52.059,1178.018451
Liberia,LBR,0.642,0.454,0.815,4,3,-0.857,6,96634.517,4472230,2244165,NA,19.75276888,NA,4,5.576,0,17.7,62.802,681.5621768
Malawi,MWI,0.592,0.545,0.398,3,3,-0.307,6,119198.864,16745303,14013643,NA,8.855925673,275.2046509,4,4.77,0,11,62.681,379.6239342
Maldives,MDV,0.394,0.225,0.684,5,4,-0.576,NA,33.854,454915,279640,NA,0.005869166,5538.792992,6,NA,0,100,78.013,9189.986948
Mongolia,MNG,0.656,0.653,0.885,2,1,-0.38,10,1562323.427,2998439,952602,NA,9.789107021,1451.591526,1,NA,0,91.00872803,69.321,3889.237589
Morocco,MAR,0.294,0.558,0.745,4,5,-0.089,-4,674614.243,34663603,13585015,NA,2.443517618,1541.397023,3,4.39,0,97.8,75.974,3212.817828
Netherlands,NLD,0.883,0.986,0.906,1,1,1.944,10,35485.575,16939923,1664686,28.2,0.432116071,33683.19507,5,11.53,0,100,81.56097561,45920.31402
Panama,PAN,0.791,0.622,0.876,2,2,-0.106,9,74612.568,3968487,1321666,50.8,0.13497609,6059.829352,2,9.06,0,93.17071533,77.964,14062.43613
Papua New Guinea,PNG,0.471,0.484,0.704,3,4,-0.869,5,465827.908,8107775,7052789,NA,11.66608378,2146.540816,6,NA,0,49.4,63.744,2770.395138
Qatar,QAT,0.087,0.489,0.425,5,6,0.771,-10,11143.663,2565710,27068,NA,19.93349784,NA,3,NA,0,100,79.868,62800.36806
